graph,blocks,Type,tpart,concurrent,index,job,iter,scale1,tstop,scale0,flips,updates,neighbor_updates,cut,ene,anneal,u,m,syncs,surprise_flips,gradient_difference_norm,tstep,nodes,edges,BKS,Ratio,GInd,Inverse Ratio,bits,GS,target,factor,TTT,BTT,solved
G040,8,BA,3.8540700098775135e-10,False,18659.5,18660.5,19.5,0.8,2e-05,3.0,5611.7,29771.25,2896.0,1474.75,-3047.5,2.00004e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.6144791666666667,40.0,0.3855208333333333,103786386.5925758,0.0,0.98,1.0,inf,inf,False
G040,4,BA,2.373522120906291e-09,False,7859.5,7860.5,19.5,0.8,2e-05,3.0,1286208.6,1528921.125,167779.75,2311.075,-4720.15,2.00012e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9629479166666666,40.0,0.03705208333333333,16852592.039347265,0.0,0.98,1.0,inf,inf,False
G040,4,BA,1.2948974895804388e-07,False,5219.5,5220.5,19.5,0.8,2e-05,3.0,3857957.975,117732.95,12748.325,2289.4,-4676.8,2.00713e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9539166666666666,40.0,0.046083333333333344,308904.76135651825,0.0,0.98,1.0,inf,inf,False
G040,4,BA,6.258149233243954e-08,True,899.5,900.5,19.5,0.8,2e-05,3.0,7802578.65,,,928.875,-1955.75,2e-05,,,319.0,146286.975,5218219.5,2.2e-11,2000.0,11766.0,2400.0,0.38703125,40.0,0.6129687500000001,639166.6051604482,0.0,0.98,1.0,inf,inf,False
G040,4,BA,1.862645149230957e-07,False,4979.5,4980.5,19.5,0.8,2e-05,3.0,3984832.6,87017.3,9272.4,2277.45,-4652.9,2.01176e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9489375000000001,40.0,0.0510625,214748.3648,0.0,0.98,1.0,inf,inf,False
G040,4,BA,9.002034065447288e-08,True,659.5,660.5,19.5,0.8,2e-05,3.0,7598961.5,,,976.425,-2050.85,2e-05,,,222.0,102866.7,3645059.0,2.2e-11,2000.0,11766.0,2400.0,0.40684375,40.0,0.59315625,444344.01946481084,0.0,0.98,1.0,inf,inf,False
G040,8,BA,2.6793217068308267e-10,False,18899.5,18900.5,19.5,0.8,2e-05,3.0,971.025,7495.0,638.075,927.85,-1953.7,2.00003e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.3866041666666667,40.0,0.6133958333333334,149291516.19987088,0.0,0.98,1.0,inf,inf,False
G040,4,BA,1.147106683004697e-09,False,8339.5,8340.5,19.5,0.8,2e-05,3.0,425205.075,886255.375,95322.825,2213.025,-4524.05,2.00004e-05,0.0,0.0,,,,2.2e-11,2000.0,11766.0,2400.0,0.9220937499999999,40.0,0.07790625,34870339.95410539,0.0,0.98,1.0,inf,inf,False
G040,4,BA,1.862645149230957e-07,True,179.5,180.5,19.5,0.8,2e-05,3.0,7519326.9,,,755.0,-1608.0,2e-05,,,107.0,50994.4,1777948.5,2.2e-11,2000.0,11766.0,2400.0,0.3145833333333333,40.0,0.6854166666666667,214748.3648,0.0,0.98,1.0,inf,inf,False
G027,4,ER,1.8626451492309566e-10,False,9379.5,9380.5,19.5,0.8,2e-05,3.0,141.525,2407.575,118.125,464.05,-970.1,2.00002e-05,0.0,0.0,,,,2.2e-11,2000.0,19990.0,3341.0,0.13889554025740797,27.0,0.861104459742592,214748364.8000001,0.0,0.98,1.0,inf,inf,False
